Order_ID,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2000.0,Training,SuperRep Go,M,3.0,4957.93,0.47,0.0,2024-03-09,Online,bengaluru,229.54999999999995
2001.0,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,0.0,2024-07-09,Retail,Hyd,887.47
2002.0,Soccer,Premier III,M,4.0,9673.57,0.0,0.0,04-10-2024,Retail,Mumbai,4337.34
2003.0,Lifestyle,Blazer Mid,L,1.0,9673.57,0.0,0.0,04-10-2024,Online,Pune,4376.85
2004.0,Running,React Infinity,XL,1.0,7363.96,0.0,0.0,2024/09/12,Retail,Delhi,1187.8899999999999
2005.0,Training,Flex Trainer,M,1.0,7363.96,0.0,0.0,04-06-2025,Retail,Delhi,2415.98
2006.0,Training,SuperRep Go,M,1.0,6819.78,0.0,0.0,04-06-2025,Online,Bangalore,2802.09
2007.0,Training,SuperRep Go,M,1.0,7949.83,0.32,0.0,11-10-2024,Retail,Bangalore,3928.36
2008.0,Soccer,Premier III,11,-1.0,7949.83,0.0,0.0,11-10-2024,Online,Hyderabad,268.82000000000005
2009.0,Soccer,Mercurial Superfly,M,4.0,7949.83,0.0,0.0,2025/01/16,Online,Pune,4929.610000000001
2010.0,Lifestyle,Waffle One,L,1.0,7949.83,0.0,0.0,2025/01/16,Online,Pune,2965.56
2011.0,Training,Flex Trainer,L,-1.0,9586.08,0.0,0.0,13-11-2024,Retail,Hyd,2667.08
2018.0,Lifestyle,Blazer Mid,11,-1.0,9671.05,0.86,0.0,13-11-2024,Online,Delhi,3109.48
2013.0,Training,SuperRep Go,11,1.0,9671.05,0.0,0.0,19-09-2024,Online,hyderbad,1299.34
2014.0,Running,React Infinity,11,1.0,3285.52,0.0,0.0,2025-04-12,Online,Bangalore,-44.40000000000009
2015.0,Basketball,Air Jordan,M,1.0,3285.52,0.0,0.0,31-05-2025,Retail,Kolkata,2193.21
